date,growth
2017-02-19,58
2017-02-20,36
2017-02-21,37
2017-02-22,89
2017-02-23,28
2017-02-24,40
2017-02-25,40
2017-02-26,40
2017-02-27,41
2017-02-28,32
2017-03-01,54
2017-03-02,47
2017-03-03,48
2017-03-04,49
2017-03-05,49
2017-03-06,54
2017-03-07,54
2017-03-08,38
2017-03-09,25
2017-03-10,38
2017-03-11,41
2017-03-11,40
2017-03-12,51
2017-03-13,51
2017-03-14,51
2017-03-15,71
2017-03-16,18
2017-03-17,80
2017-03-18,67
2017-03-19,36
2017-03-20,59
2017-03-21,60
2017-03-22,50
2017-03-23,50
2017-03-24,50
2017-03-25,50
2017-03-26,52
2017-03-27,72
2017-03-28,30
2017-03-29,49
2017-03-30,50
2017-03-31,62
2017-04-01,62
2017-04-02,40
2017-04-03,41
2017-04-04,50
2017-04-05,50
2017-04-06,50
2017-04-07,53
2017-04-08,46
2017-04-09,57
2017-04-10,57
2017-04-11,37
2017-04-12,48
2017-04-13,48
2017-04-14,48
2017-04-15,54
2017-04-16,55
2017-04-17,60
2017-04-18,45
2017-04-19,100
2017-04-20,37
2017-04-21,41
2017-04-22,41
2017-04-23,41
2017-04-24,41
2017-04-25,41
2017-04-26,45
2017-04-27,26
2017-04-28,26
2017-04-29,26
2017-04-30,26
2017-05-01,39
2017-05-02,39
2017-05-03,40
2017-05-04,51
2017-05-05,51
2017-05-06,53
2017-05-07,88
2017-05-08,66
2017-05-09,67
2017-05-10,86
2017-05-11,57
2017-05-12,32
2017-05-13,32
2017-05-14,51
2017-05-15,51
2017-05-16,51
2017-05-17,54
2017-05-18,28
2017-05-19,40
2017-05-20,72
2017-05-21,56
2017-05-22,57
2017-05-23,26
2017-05-24,63
2017-05-25,27
2017-05-26,37
2017-05-27,37
2017-05-28,37
2017-05-29,50
2017-05-30,50
2017-05-31,44
2017-06-01,43
2017-06-02,72
2017-06-03,-2
2017-06-04,37
2017-06-05,61
2017-06-06,51
2017-06-07,52
2017-06-08,54
2017-06-09,29
2017-06-10,29
2017-06-11,31
2017-06-12,48
2017-06-13,48
2017-06-14,44
2017-06-15,55
2017-06-16,47
2017-06-17,48
2017-06-18,37
2017-06-19,38
2017-06-20,64
2017-06-21,64
2017-06-22,64
2017-06-23,81
2017-06-24,32
2017-06-25,25
2017-06-26,40
2017-06-27,41
2017-06-28,100
2017-06-29,28
2017-06-30,29
2017-07-01,53
2017-07-02,53
2017-07-03,54
2017-07-04,60
2017-07-05,76
2017-07-06,52
2017-07-07,53
2017-07-08,54
2017-07-09,56
2017-07-10,57
2017-07-11,57
2017-07-12,44
2017-07-13,44
2017-07-14,44
2017-07-15,44
2017-07-16,44
2017-07-17,44
2017-07-18,44
2017-07-19,48
2017-07-20,17
2017-07-21,52
2017-07-22,70
2017-07-23,55
2017-07-24,55
2017-07-25,55
2017-07-26,55
2017-07-27,55
2017-07-28,28
2017-07-29,28
2017-07-30,32
2017-07-31,32
2017-08-01,32
2017-08-02,32
2017-08-03,32
2017-08-04,32
2017-08-05,51
2017-08-06,57
2017-08-07,57
2017-08-08,58
2017-08-09,72
2017-08-10,24
2017-08-11,24
2017-08-12,57
2017-08-13,51
2017-08-14,52
2017-08-15,36
2017-08-16,37
2017-08-17,50
2017-08-18,31
2017-08-19,31
2017-08-20,33
2017-08-21,53
2017-08-22,53
2017-08-23,53
2017-08-24,53
2017-08-25,53
2017-08-26,53
2017-08-27,53
2017-08-28,53
2017-08-29,53
2017-08-30,53
2017-08-31,53
2017-09-01,53
2017-09-02,53
2017-09-03,53
2017-09-04,53
2017-09-05,53
2017-09-06,53
2017-09-07,53
2017-09-08,53
2017-09-09,53
2017-09-10,53
2017-09-11,53
2017-09-12,53
2017-09-13,53
2017-09-14,53
2017-09-15,53
2017-09-16,53
2017-09-17,53
2017-09-18,69
2017-09-19,3
2017-09-20,3
2017-09-21,3
2017-09-22,3
2017-09-23,6
2017-09-24,67
2017-09-25,50
2017-09-26,41
2017-09-27,42
2017-09-28,30
2017-09-29,30
2017-09-30,32
2017-10-01,52
2017-10-02,53
2017-10-03,39
2017-10-04,50
2017-10-05,50
2017-10-06,50
2017-10-07,50
2017-10-08,50
2017-10-09,50
2017-10-10,50
2017-10-11,57
2017-10-12,17
2017-10-13,17
2017-10-14,52
2017-10-15,66
2017-10-16,66
2017-10-17,35
2017-10-18,36
2017-10-19,35
2017-10-20,25
2017-10-21,25
2017-10-22,27
2017-10-23,40
2017-10-24,72
2017-10-25,36
2017-10-26,36
2017-10-27,36
2017-10-28,14
2017-10-29,14
2017-10-30,47
2017-10-31,47
2017-11-01,47
2017-11-02,47
2017-11-03,47
2017-11-04,47
2017-11-05,47
2017-11-05,47
2017-11-06,47
2017-11-07,47
2017-11-08,47
2017-11-09,47
2017-11-10,47
2017-11-11,47
2017-11-12,47
2017-11-13,47
2017-11-14,47
2017-11-15,47
2017-11-16,47
2017-11-17,47
2017-11-18,47
2017-11-19,47
2017-11-20,47
2017-11-21,47
2017-11-22,47
2017-11-23,47
2017-11-25,55
2017-11-26,53
2017-11-27,53
2017-11-28,53
2017-11-29,53
2017-11-30,56
2017-12-01,41
2017-12-02,41
2017-12-03,41
2017-12-04,41
2017-12-05,41
2017-12-06,41
2017-12-07,41
2017-12-08,41
2017-12-09,41
2017-12-10,41
2017-12-11,41
2017-12-12,41
2017-12-13,41
2017-12-14,41
2017-12-15,41
2017-12-16,41
2017-12-17,41
2017-12-18,41
2017-12-19,41
2017-12-20,41
2017-12-21,41
2017-12-22,41
2017-12-23,41
2017-12-24,41
2017-12-25,41
2017-12-26,41
2017-12-27,41
2017-12-28,41
2017-12-29,41
2017-12-30,41
2017-12-31,41
2018-01-01,41
2018-01-02,41
2018-01-03,41
2018-01-04,41
2018-01-05,41
2018-01-06,41
2018-01-07,67
2018-01-08,48
2018-01-09,49
2018-01-10,43
2018-01-11,43
2018-01-12,44
2018-01-13,29
2018-01-14,62
2018-01-15,44
2018-01-16,44
2018-01-17,44
2018-01-18,44
2018-01-19,44
2018-01-20,48
2018-01-21,54
2018-01-22,54
2018-01-23,54
2018-01-24,54
2018-01-25,54
2018-01-26,54
2018-01-27,42
2018-01-28,42
2018-01-29,42
2018-01-30,42
2018-01-31,42
2018-02-01,42
2018-02-02,42
2018-02-03,42
2018-02-04,42
2018-02-05,42
2018-02-06,42
2018-02-07,42
2018-02-08,42
2018-02-09,42
2018-02-10,50
2018-02-11,51
2018-02-12,56
2018-02-13,56
2018-02-14,56
2018-02-15,56
2018-02-16,56
2018-02-17,60
2018-02-18,45
2018-02-19,45
2018-02-20,45
2018-02-21,46
2018-02-22,53
2018-02-23,36
2018-02-24,36
2018-02-25,36
2018-02-26,36
2018-02-27,36
2018-02-28,36
2018-03-01,36
2018-03-02,36
2018-03-03,38
