date,count,total_count,ratio
"2012-02-06","18","25146","0.0007158196134574087"
"2012-02-07","4","25797","0.0001550567895491724"
"2012-02-08","3","25593","0.00011721955222131051"
"2012-02-09","3","25333","0.00011842261082382663"
"2012-02-10","3","24809","0.00012092385827723809"
"2012-02-11","1","15150","6.6006600660066e-05"
"2012-02-12","1","15024","6.656017039403621e-05"
"2012-02-13","6","18475","0.00032476319350473615"
"2012-02-14","3","19017","0.00015775358889414735"
"2012-02-15","1","27467","3.640732515382095e-05"
"2012-02-16","1","26001","3.846005922849121e-05"
"2012-02-17","7","25511","0.0002743914389871036"
"2012-02-18","0","15888","0"
"2012-02-19","1","15024","6.656017039403621e-05"
"2012-02-20","11","22716","0.0004842401831308329"
"2012-02-21","1","18361","5.446326452807581e-05"
"2012-02-22","0","23695","0"
"2012-02-23","6","24048","0.000249500998003992"
"2012-02-24","5","24688","0.00020252754374594945"
"2012-02-25","3","15668","0.00019147306612203217"
"2012-02-26","0","15402","0"
"2012-02-27","6","25332","0.00023685457129322596"
"2012-02-28","11","25240","0.0004358161648177496"
"2012-02-29","1","25647","3.899091511677779e-05"
"2012-03-01","2","26490","7.550018875047188e-05"
"2012-03-02","2","25626","7.804573480059315e-05"
"2012-03-03","2","15867","0.00012604777210562803"
"2012-03-04","0","17530","0"
"2012-03-05","0","27191","0"
"2012-03-06","2","26131","7.653744594542881e-05"
"2012-03-07","1","25763","3.881535535457827e-05"
"2012-03-08","19","24202","0.0007850590860259483"
"2012-03-09","4","23254","0.00017201341704652963"
"2012-03-10","8","15587","0.0005132482196702381"
"2012-03-11","1","16021","6.241807627488921e-05"
"2012-03-12","6","20752","0.00028912875867386276"
"2012-03-13","2","24690","8.100445524503848e-05"
"2012-03-14","2","25339","7.892971309049292e-05"
"2012-03-15","3","26931","0.00011139578923916676"
"2012-03-16","6","25720","0.00023328149300155522"
"2012-03-17","0","17437","0"
"2012-03-18","2","14544","0.0001375137513751375"
"2012-03-19","1","25365","3.942440370589395e-05"
"2012-03-20","3","25283","0.0001186568049677649"
"2012-03-21","3","42235","7.103113531431278e-05"
"2012-03-22","6","25983","0.00023092021706500404"
"2012-03-23","5","25592","0.00019537355423569866"
"2012-03-24","1","15239","6.562110374696503e-05"
"2012-03-25","0","14961","0"
"2012-03-26","3","24576","0.0001220703125"
"2012-03-27","3","22994","0.00013046881795250934"
"2012-03-28","0","27220","0"
"2012-03-29","2","25447","7.859472629386568e-05"
"2012-03-30","0","25069","0"
"2012-03-31","6","15388","0.0003899142188718482"
"2012-04-01","2","14881","0.00013439956992137626"
"2012-04-02","7","24853","0.00028165613809198086"
"2012-04-03","5","24828","0.00020138553246334782"
"2012-04-04","1","25916","3.8586201574317025e-05"
"2012-04-05","0","26377","0"
"2012-04-06","0","22988","0"
"2012-04-07","1","17067","5.8592605613171615e-05"
"2012-04-08","0","22180","0"
"2012-04-09","2","38179","5.2384818879488725e-05"
"2012-04-10","1","24087","4.151617054842861e-05"
"2012-04-11","1","26244","3.8103947568968146e-05"
"2012-04-12","1","28259","3.53869563678828e-05"
"2012-04-13","4","25592","0.00015629884338855892"
"2012-04-14","0","15688","0"
"2012-04-15","0","16063","0"
"2012-04-16","5","24444","0.00020454917362133857"
"2012-04-17","10","26279","0.0003805319837132311"
"2012-04-18","0","24509","0"
"2012-04-19","2","22600","8.849557522123894e-05"
"2012-04-20","2","22303","8.967403488319957e-05"
"2012-04-21","1","12599","7.937137868084769e-05"
"2012-04-22","6","12603","0.00047607712449416806"
"2012-04-23","7","21835","0.0003205862147927639"
"2012-04-24","5","26121","0.0001914168676543777"
"2012-04-25","3","26282","0.00011414656418841792"
"2012-04-26","4","26732","0.00014963339817447254"
"2012-04-27","1","24289","4.117090040759191e-05"
"2012-04-28","1","15853","6.307954330410648e-05"
"2012-04-29","1","13242","7.551729346020239e-05"
"2012-04-30","3","21418","0.00014006910075637315"
"2012-05-01","2","22379","8.936949819026766e-05"
"2012-05-02","4","24825","0.00016112789526686808"
"2012-05-03","0","24464","0"
"2012-05-04","21","40678","0.0005162495697920252"
"2012-05-05","2","15709","0.00012731555159462728"
"2012-05-06","1","14432","6.929046563192905e-05"
"2012-05-07","1","21448","4.6624393882879525e-05"
"2012-05-08","2","23156","8.637070305752289e-05"
"2012-05-09","3","23720","0.00012647554806070825"
"2012-05-10","1","24866","4.0215555376819756e-05"
"2012-05-11","1","23717","4.216384871611081e-05"
"2012-05-12","0","15950","0"
"2012-05-13","2","13832","0.00014459224985540774"
"2012-05-14","4","24550","0.00016293279022403258"
"2012-05-15","3","24815","0.00012089462018940157"
"2012-05-16","1","24560","4.0716612377850165e-05"
"2012-05-17","0","24087","0"
"2012-05-18","0","23934","0"
"2012-05-19","4","14808","0.0002701242571582928"
"2012-05-20","2","14450","0.0001384083044982699"
"2012-05-21","10","31591","0.0003165458516666139"
"2012-05-22","2","24403","8.195713641765357e-05"
"2012-05-23","1","24489","4.083466045979828e-05"
"2012-05-24","4","24552","0.00016291951775822744"
"2012-05-25","3","22997","0.0001304517980606166"
"2012-05-26","4","13778","0.00029031789809841774"
"2012-05-27","0","13848","0"
"2012-05-28","4","17719","0.00022574637394886846"
"2012-05-29","2","21164","9.45000945000945e-05"
"2012-05-30","3","23867","0.0001256965684836804"
"2012-05-31","4","23088","0.00017325017325017325"
"2012-06-01","8","26399","0.0003030417818856775"
"2012-06-02","2","15106","0.00013239772275916854"
"2012-06-03","4","15220","0.00026281208935611036"
"2012-06-04","2","26075","7.670182166826462e-05"
"2012-06-05","3","23788","0.0001261140070623844"
"2012-06-06","3","25158","0.00011924636298592893"
"2012-06-07","0","24104","0"
"2012-06-08","4","23557","0.00016980090843486014"
"2012-06-09","3","15233","0.00019694085209742007"
"2012-06-10","1","13587","7.359976448075366e-05"
"2012-06-11","4","22313","0.00017926769148030297"
"2012-06-12","3","26210","0.00011446012972148036"
"2012-06-13","3","26247","0.00011429877700308607"
"2012-06-14","1","25360","3.943217665615142e-05"
"2012-06-15","3","25855","0.00011603171533552504"
"2012-06-16","3","15030","0.0001996007984031936"
"2012-06-17","19","14561","0.0013048554357530389"
"2012-06-18","10","26778","0.000373440884308014"
"2012-06-19","8","27667","0.0002891531427332201"
"2012-06-20","3","27941","0.00010736909917325794"
"2012-06-21","5","27447","0.00018216927168725178"
"2012-06-22","2","26454","7.560293339381567e-05"
"2012-06-23","0","15214","0"
"2012-06-24","3","14687","0.00020426227275822156"
"2012-06-25","2","25811","7.748634303204061e-05"
"2012-06-26","3","24977","0.0001201105016615286"
"2012-06-27","4","25862","0.00015466707911221097"
"2012-06-28","6","25749","0.0002330187580100198"
"2012-06-29","6","22589","0.00026561600779140287"
"2012-06-30","0","10353","0"
"2012-07-01","4","10815","0.0003698566805362922"
"2012-07-02","4","18056","0.00022153300841825432"
"2012-07-03","4","18361","0.00021785305811230325"
"2012-07-04","2","14838","0.00013478905512872354"
"2012-07-05","1","17279","5.787371954395509e-05"
"2012-07-06","3","18352","0.00016346992153443767"
"2012-07-07","1","10492","9.531071292413267e-05"
"2012-07-08","1","11086","9.020386072523904e-05"
"2012-07-09","1","18456","5.4182921543129604e-05"
"2012-07-10","2","19510","0.00010251153254741159"
"2012-07-11","5","18845","0.0002653223666755107"
"2012-07-12","6","19932","0.00030102347983142685"
"2012-07-13","3","18295","0.0001639792292976223"
"2012-07-14","2","10154","0.00019696671262556627"
"2012-07-15","1","6472","0.00015451174289245981"
"2012-07-16","0","7919","0"
"2012-07-17","0","11117","0"
"2012-07-18","5","20550","0.00024330900243309004"
"2012-07-19","1","19586","5.1056877361380575e-05"
"2012-07-20","2","18305","0.00010925976509150505"
"2012-07-21","1","10759","9.294544102611767e-05"
"2012-07-22","2","11047","0.0001810446275006789"
"2012-07-23","0","18258","0"
"2012-07-24","2","19955","0.00010022550739163118"
"2012-07-25","4","20673","0.00019348909205243556"
"2012-07-26","6","20743","0.00028925420623824905"
"2012-07-27","4","19254","0.00020774903916069389"
"2012-07-28","1","11601","8.61994655633135e-05"
"2012-07-29","2","11911","0.00016791201410460918"
"2012-07-30","2","19521","0.00010245376773730854"
"2012-07-31","4","21187","0.00018879501581158258"
"2012-08-01","3","22263","0.00013475272874275703"
"2012-08-02","1","24908","4.014774369680424e-05"
"2012-08-03","4","19730","0.00020273694880892042"
"2012-08-04","1","12015","8.322929671244278e-05"
"2012-08-05","7","12071","0.0005799022450501201"
"2012-08-06","11","26294","0.000418346390811592"
"2012-08-07","8","27428","0.00029167274318214965"
"2012-08-08","5","29793","0.00016782465679857685"
"2012-08-09","1","27465","3.640997633351538e-05"
"2012-08-10","1","26241","3.810830379939789e-05"
"2012-08-11","1","17728","5.640794223826715e-05"
"2012-08-12","2","16799","0.0001190547056372403"
"2012-08-13","4","25817","0.00015493666963628617"
"2012-08-14","2","26235","7.623403849818945e-05"
"2012-08-15","5","28638","0.0001745931978490118"
"2012-08-16","9","26917","0.0003343611843816176"
"2012-08-17","0","31468","0"
"2012-08-18","1","16645","6.007810153199159e-05"
"2012-08-19","0","16375","0"
"2012-08-20","5","27361","0.00018274185885018822"
"2012-08-21","2","26858","7.446570854121677e-05"
