date,growth
2016-04-24,123
2016-04-25,145
2016-04-26,110
2016-04-27,129
2016-04-28,185
2016-04-29,99
2016-04-30,94
2016-05-01,94
2016-05-02,94
2016-05-03,96
2016-05-04,103
2016-05-05,104
2016-05-06,186
2016-05-07,186
2016-05-08,187
2016-05-09,67
2016-05-10,123
2016-05-11,123
2016-05-12,123
2016-05-13,123
2016-05-14,123
2016-05-15,126
2016-05-16,165
2016-05-17,21
2016-05-18,165
2016-05-19,48
2016-05-20,101
2016-05-21,101
2016-05-22,101
2016-05-23,101
2016-05-24,101
2016-05-25,101
2016-05-26,101
2016-05-27,101
2016-05-28,101
2016-05-29,101
2016-05-30,101
2016-05-31,106
2016-06-01,76
2016-06-02,100
2016-06-03,100
2016-06-04,100
2016-06-05,100
2016-06-06,100
2016-06-07,100
2016-06-08,100
2016-06-09,100
2016-06-10,103
2016-06-11,47
2016-06-12,120
2016-06-13,105
2016-06-14,105
2016-06-15,105
2016-06-16,105
2016-06-17,105
2016-06-18,105
2016-06-19,105
2016-06-20,105
2016-06-21,105
2016-06-22,105
2016-06-23,105
2016-06-24,105
2016-06-25,105
2016-06-26,105
2016-06-27,105
2016-06-28,105
2016-06-29,105
2016-06-30,105
2016-07-01,105
2016-07-02,105
2016-07-03,105
2016-07-04,105
2016-07-05,105
2016-07-06,105
2016-07-07,105
2016-07-08,105
2016-07-09,105
2016-07-10,105
2016-07-11,105
2016-07-12,105
2016-07-13,105
2016-07-14,105
2016-07-15,105
2016-07-16,105
2016-07-17,105
2016-07-18,105
2016-07-19,105
2016-07-20,138
2016-07-21,114
2016-07-22,115
2016-07-23,111
2016-07-24,111
2016-07-25,111
2016-07-26,111
2016-07-27,111
2016-07-28,111
2016-07-29,111
2016-07-30,111
2016-07-31,111
2016-08-01,111
2016-08-02,111
2016-08-03,116
2016-08-04,58
2016-08-05,161
2016-08-06,115
2016-08-07,110
2016-08-08,110
2016-08-09,110
2016-08-10,113
2016-08-11,95
2016-08-12,95
2016-08-13,95
2016-08-14,97
2016-08-15,133
2016-08-16,133
2016-08-17,133
2016-08-18,95
2016-08-19,110
2016-08-20,141
2016-08-21,141
2016-08-22,126
2016-08-23,126
2016-08-24,126
2016-08-25,126
2016-08-26,126
2016-08-27,130
2016-08-28,207
2016-08-29,62
2016-08-30,121
2016-08-31,121
2016-09-01,121
2016-09-02,122
2016-09-03,31
2016-09-04,83
2016-09-05,123
2016-09-06,123
